City_ID,City,Max Temp,Description,Lat,Lng,Hotel Name
166,Havoysund,45.48,overcast clouds,70.9963,24.6622,Arctic View Glamping & Restaurant
167,Namibe,68.31,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
168,Wegorzewo,71.15,broken clouds,54.2157,21.7372,Gościniec przy Kei
169,Sakakah,96.33,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
170,Kevsala,75.58,scattered clouds,45.7983,42.6903,Yamal
171,Rovaniemi,63.81,clear sky,66.5,25.7167,Arctic City Hotel
172,Sistranda,67.96,overcast clouds,63.7256,8.834,Hotell Frøya
174,Nisia Floresta,85.59,clear sky,-6.0911,-35.2086,Rancho Crepusculo
175,Caravelas,74.8,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
178,Marawi,70.25,overcast clouds,7.9986,124.2928,Derogongan Residence
179,Santa Maria Da Vitoria,85.3,scattered clouds,-13.3947,-44.1886,Pousada Rio Current
180,Abu Dhabi,94.77,scattered clouds,24.4667,54.3667,Ramee Garden Hotel Apartments
181,Waddan,92.68,clear sky,29.1614,16.139,محل الشريف محمد العايب
182,Lebu,52.54,few clouds,-37.6167,-73.65,Hostal Las Lilas
183,Uribia,92.64,broken clouds,11.7139,-72.266,Hotel Uribia
184,Puerto Maldonado,92.52,clear sky,-12.6,-69.1833,Wasai Hotel
185,Opuwo,65.86,clear sky,-18.0607,13.84,ABBA Guesthouse
186,Thunder Bay,82.29,broken clouds,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
187,Monrovia,83.97,overcast clouds,6.3005,-10.7969,Sunset Inn
188,Sabzevar,92.23,clear sky,36.2126,57.6819,پزشکی قانونی سبزوار
189,Bejucal,88.32,broken clouds,22.9286,-82.3886,Casa Ziegler
190,Pisco,64.02,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
191,Penzance,69.01,scattered clouds,50.1186,-5.5371,Artist Residence Penzance
192,Taltal,60.89,scattered clouds,-25.4,-70.4833,Residencial Karime
193,Miraflores,70.56,clear sky,19.2167,-98.8083,Hotel Mansión
194,Sandanski,81.7,broken clouds,41.5667,23.2833,"Hotel ""Perun"""
195,Villa Del Rosario,93.16,overcast clouds,7.8339,-72.4742,Hotel Villas de San Diego
196,Mitsamiouli,76.14,broken clouds,-11.3847,43.2844,Foyer ADM
198,Manchester,75.78,few clouds,53.4809,-2.2374,The Gardens Hotel
199,Diamantino,94.68,clear sky,-14.4086,-56.4461,Hotel Delta
200,Suoyarvi,60.01,overcast clouds,62.0833,32.35,Mini-Hotel Comfort
201,Badin,83.93,broken clouds,24.656,68.8384,Shedi hotel
202,Pasni,82.65,overcast clouds,25.2631,63.471,Kashmiri Hotal
203,Victoria,86.38,light rain,22.2855,114.1577,Mini Hotel Central
204,Rosetta,78.94,clear sky,31.4044,30.4164,Green Valley
207,Sokoni,76.24,light rain,-6.4333,39.55,Ujamaa Beach Resort
